魔方状态,还原步骤,计算耗时（ms）,总耗时（单位s，扫描+计算+还原时间）
ULLBUFFRUBDBURDBDUDFRUFRLLRUBDFDRDUFLRLDLLRUFDFBBBLRBF ,Find 21 step solution in 85ms: F D2 U2 F' D' B' L F' D2 R F2 D2 R2 D B2 D' F2 L2 B2 D2 F2 ,85,6.994
DRFFULFFULBLFRBFBRLLBRFUDLRBUUBDRBRFRDUDLFUULDDBDBLDUR,Find 22 step solution in 192ms: B F' U' L' D' B2 F' U2 L' U' B D' B2 D' F2 L2 B2 R2 D' R2 D L2 ,192,8.192
FRBUULDBBUDDFRLRRDFDLRFRBLDRUBLDBFDFLBRFLDRBULUUFBULFU,Find 22 step solution in 949ms: F U R' B2 D B U2 B' F U2 R' U F2 U' B2 D F2 R2 B2 U2 R2 L2 ,949,8.099
URDDUULUDFLFLRBURDBFRFFDUFFFLRUDBBRBBBULLDDRLLFRUBBRDL,Find 21 step solution in 130ms: B2 R L2 B2 R2 D U2 L' D' F U2 B2 R2 U' R2 D2 B2 L2 U' L2 D ,130,7.321
RRRUUFDBFUDDURUDFUBDRRFBBDFRLLLDRLRBDFLLLUFFUBBFLBBLDU,Find 22 step solution in 347ms: B' L2 U2 B D' L F' D2 B2 U' B' D' B2 D U2 F2 U B2 F2 U' B2 L2 ,347,7.526
RRULULFFBUDRBRRBFDURLDFDFDDDRLLDULBBDURLLFFBLBBFUBFRUU,Find 21 step solution in 369ms: F2 R B' L D F2 D2 R2 B' U' L B2 R2 U' B2 R2 D F2 R2 B2 D ,369,7.461
RUBRUDUDRBRLFRFBUDRLDDFUFBDLLLLDBLURUBFDLFDFUURBRBBFLF,Find 22 step solution in 403ms: F2 L2 D F' U L' B' R2 D L' D' R2 D F2 D R2 F2 R2 F2 U2 F2 U2 ,403,8.091
ULBDUDDRULBULRDLUDFFBRFDRBDBLFUDBLULRRRRLBFLDRFFFBUBFU,Find 20 step solution in 629ms: D' F D' F2 D' F2 L2 D L B D U2 B2 R2 F2 R2 B2 U B2 U2 ,629,7.411
RRBRUUFFLBFUDRDBULLLURFFBURLBDFDLFDDDDUBLURRDRBFLBLFBU,Find 22 step solution in 126ms: B2 U' R' U' B2 F' D B D R' F' D2 L2 U2 B2 D2 F2 U' L2 D' R2 F2 ,126,7.855
FUBLUDLBBUFDRRDFBRFRLFFURBRDLUFDUBBDLUDRLRULFLFULBDBDR,Find 21 step solution in 110ms: B' L' D2 B L' B2 L F2 D' L' B2 L2 D L2 D2 B2 L2 U B2 L2 F2 ,110,7.775
BRLLUUUDRDBFDRFFFLBRFFFBLDRDFUUDLULDDDRLLRBRBUBRUBBFUL,Find 20 step solution in 120ms: F D B' D' L' B' R2 U2 L' B' L2 B2 D2 B2 F2 U' L2 U R2 D' ,120,7.517
FURFUBDRRBDBLRLLULLDDRFBUBBLUDFDRUBFRDFLLFFUBULDFBDURR,Find 21 step solution in 67ms: B2 L' B L2 F' D B' L' F2 R' F' D U' R2 B2 F2 U' B2 L2 B2 D ,67,7.219
